import time: self [us] | cumulative | imported package
import time:       466 |        466 |                   torch.cuda.nccl
import time:       347 |        813 |                 torch.nn.parallel.comm
import time:       606 |       1418 |               torch.nn.parallel.replicate
import time:       576 |        576 |                   torch.nn.parallel._functions
import time:       381 |        957 |                 torch.nn.parallel.scatter_gather
import time:       534 |       1491 |               torch.nn.parallel.data_parallel
import time:      2567 |       2567 |                     torch.distributed.algorithms.join
import time:       321 |       2887 |                   torch.distributed.algorithms
import time:        66 |       2952 |                 torch.distributed.algorithms.join
import time:       996 |        996 |                 torch.distributed.utils
import time:      2288 |       6235 |               torch.nn.parallel.distributed
import time:       417 |      10174 |             torch.nn.parallel
import time:       626 |     141431 |           torch.nn
import time:        41 |     141472 |         torch.nn.functional
import time:       289 |        289 |           torch._linalg_utils
import time:       416 |        705 |         torch._lowrank
import time:      3282 |     145457 |       torch.functional
import time:       345 |        345 |           torch.cpu.amp.autocast_mode
import time:       349 |        694 |         torch.cpu.amp
import time:       887 |       1580 |       torch.cpu
import time:       366 |        366 |         torch.mps.profiler
import time:       240 |        240 |         torch.mps.event
import time:       546 |       1152 |       torch.mps
import time:       461 |        461 |       torch.fft
import time:       515 |        515 |       torch.nested
import time:       518 |        518 |           torch.signal.windows.windows
import time:       387 |        905 |         torch.signal.windows
import time:       324 |       1228 |       torch.signal
import time:      1324 |       1324 |           torch.optim.optimizer
import time:       665 |       1989 |         torch.optim.adadelta
import time:       450 |        450 |         torch.optim.adagrad
import time:       521 |        521 |         torch.optim.adam
import time:       609 |        609 |         torch.optim.adamw
import time:       427 |        427 |             torch.optim.adamax
import time:       431 |        431 |             torch.optim.asgd
import time:       459 |        459 |             torch.optim.nadam
import time:       430 |        430 |             torch.optim.radam
import time:       374 |        374 |             torch.optim.rmsprop
import time:       758 |        758 |             torch.optim.rprop
import time:       620 |        620 |             torch.optim.sgd
import time:       582 |       4076 |           torch.optim._functional
import time:       435 |       4511 |         torch.optim.sparse_adam
import time:       465 |        465 |         torch.optim.lbfgs
import time:       869 |        869 |         torch.optim.lr_scheduler
import time:       561 |        561 |         torch.optim.swa_utils
import time:       547 |      10517 |       torch.optim
import time:       602 |        602 |       torch.optim._multi_tensor
import time:       535 |        535 |             multiprocessing.process
import time:      1810 |       1810 |                 array
import time:      2213 |       4022 |               socket
import time:       459 |       4480 |             multiprocessing.reduction
import time:       777 |       5791 |           multiprocessing.context
import time:       371 |       6162 |         multiprocessing
import time:       499 |        499 |           multiprocessing.util
import time:       428 |        428 |           multiprocessing.resource_sharer
import time:       725 |       1650 |         torch.multiprocessing.reductions
import time:      1656 |       1656 |             _multiprocessing
import time:       121 |        121 |             _winapi
import time:       708 |       2484 |           multiprocessing.connection
import time:       406 |       2889 |         torch.multiprocessing.spawn
import time:       566 |      11266 |       torch.multiprocessing
import time:       491 |        491 |       torch.special
import time:       255 |        255 |       torch.utils.backcompat
import time:       332 |        332 |                 torch.backends.cpu
import time:       434 |        434 |                 torch.backends.cuda
import time:       341 |        341 |                 torch.backends.cudnn
import time:       250 |        250 |                 torch.backends.mkl
import time:       290 |        290 |                 torch.backends.mkldnn
import time:       503 |        503 |                   torch.library
import time:       258 |        761 |                 torch.backends.mps
import time:       219 |        219 |                 torch.backends.openmp
import time:       297 |        297 |                 torch.backends.quantized
import time:       614 |       3534 |               torch.backends
import time:        38 |       3572 |             torch.backends.cudnn
import time:       451 |       4023 |           torch.jit._builtins
import time:      1673 |       5695 |         torch.jit._async
import time:       288 |        288 |         torch.jit._await
import time:       224 |        224 |         torch.jit._decomposition_utils
import time:       273 |        273 |             torch._classes
import time:       311 |        311 |             torch.jit._fuser
import time:        91 |         91 |               monkeytype
import time:       378 |        468 |             torch.jit._monkeytype_config
import time:       266 |        266 |               torch.jit._check
import time:       293 |        293 |               torch.jit._state
import time:       533 |        533 |                 torch.jit.annotations
import time:       295 |        295 |                 torch.jit._dataclass_impls
import time:        90 |         90 |                 astunparse
import time:       945 |       1861 |               torch.jit.frontend
import time:       898 |       3317 |             torch.jit._recursive
import time:       267 |        267 |             torch.jit._serialization
import time:      2744 |       7377 |           torch.jit._script
import time:       306 |       7683 |         torch.jit._freeze
import time:       345 |        345 |         torch.jit._ir_utils
import time:       940 |        940 |         torch.jit._trace
import time:       476 |      15648 |       torch.jit
import time:       499 |        499 |       torch.linalg
import time:      1480 |       1480 |           _uuid
import time:       732 |       2211 |         uuid
import time:       512 |        512 |             zipfile._path.glob
import time:       997 |       1509 |           zipfile._path
import time:      1583 |       3092 |         zipfile
import time:       265 |        265 |           urllib.response
import time:       305 |        570 |         urllib.error
import time:       567 |        567 |           email
import time:      1215 |       1215 |             http
import time:       957 |        957 |                 email.errors
import time:      1029 |       1029 |                     email.quoprimime
import time:       748 |        748 |                     email.base64mime
import time:       707 |        707 |                         quopri
import time:       630 |       1336 |                       email.encoders
import time:       839 |       2174 |                     email.charset
import time:      1568 |       5518 |                   email.header
import time:      1377 |       1377 |                       calendar
import time:       701 |       2077 |                     email._parseaddr
import time:      1065 |       3142 |                   email.utils
import time:       930 |       9589 |                 email._policybase
import time:      1023 |      11568 |               email.feedparser
import time:       750 |      12318 |             email.parser
import time:       661 |        661 |               email._encoded_words
import time:       453 |        453 |               email.iterators
import time:      1245 |       2359 |             email.message
import time:      3588 |       3588 |               _ssl
import time:      3324 |       6911 |             ssl
import time:      1660 |      24460 |           http.client
import time:      1741 |       1741 |           _scproxy
import time:      1679 |      28445 |         urllib.request
import time:       416 |        416 |           tqdm._monitor
import time:       214 |        214 |           tqdm._tqdm_pandas
import time:      1810 |       1810 |                 unicodedata
import time:       771 |       2580 |               tqdm.utils
import time:      1245 |       3824 |             tqdm.std
import time:       181 |        181 |               tqdm._dist_ver
import time:       247 |        427 |             tqdm.version
import time:       605 |       4856 |           tqdm.cli
import time:       302 |        302 |           tqdm.gui
import time:       424 |       6210 |         tqdm
import time:       649 |      41175 |       torch.hub
import time:       800 |        800 |           torch.distributions.constraints
import time:       383 |        383 |               torch.distributions.utils
import time:       380 |        762 |             torch.distributions.distribution
import time:       255 |       1017 |           torch.distributions.exp_family
import time:       505 |       2320 |         torch.distributions.bernoulli
import time:       396 |        396 |           torch.distributions.dirichlet
import time:       336 |        732 |         torch.distributions.beta
import time:       467 |        467 |         torch.distributions.binomial
import time:       405 |        405 |         torch.distributions.categorical
import time:       296 |        296 |         torch.distributions.cauchy
import time:       281 |        281 |           torch.distributions.gamma
import time:       257 |        537 |         torch.distributions.chi2
import time:      1892 |       1892 |           torch.distributions.transforms
import time:       369 |       2260 |         torch.distributions.constraint_registry
import time:       367 |        367 |         torch.distributions.continuous_bernoulli
import time:       279 |        279 |         torch.distributions.exponential
import time:       282 |        282 |         torch.distributions.fishersnedecor
import time:       287 |        287 |         torch.distributions.geometric
import time:       268 |        268 |             torch.distributions.independent
import time:       401 |        668 |           torch.distributions.transformed_distribution
import time:       300 |        300 |           torch.distributions.uniform
import time:       298 |       1265 |         torch.distributions.gumbel
import time:       278 |        278 |         torch.distributions.half_cauchy
import time:       288 |        288 |           torch.distributions.normal
import time:       280 |        567 |         torch.distributions.half_normal
import time:       345 |        345 |         torch.distributions.inverse_gamma
import time:       311 |        311 |           torch.distributions.laplace
import time:       413 |        413 |             torch.distributions.multivariate_normal
import time:       356 |        769 |           torch.distributions.lowrank_multivariate_normal
import time:       317 |        317 |           torch.distributions.one_hot_categorical
import time:       266 |        266 |           torch.distributions.pareto
import time:       265 |        265 |           torch.distributions.poisson
import time:       892 |       2817 |         torch.distributions.kl
import time:       283 |        283 |         torch.distributions.kumaraswamy
import time:       272 |        272 |         torch.distributions.lkj_cholesky
import time:       256 |        256 |         torch.distributions.log_normal
import time:       245 |        245 |         torch.distributions.logistic_normal
import time:       320 |        320 |         torch.distributions.mixture_same_family
import time:       315 |        315 |         torch.distributions.multinomial
import time:       421 |        421 |         torch.distributions.negative_binomial
import time:       364 |        364 |         torch.distributions.relaxed_bernoulli
import time:       311 |        311 |         torch.distributions.relaxed_categorical
import time:       280 |        280 |         torch.distributions.studentT
import time:       355 |        355 |         torch.distributions.von_mises
import time:       270 |        270 |         torch.distributions.weibull
import time:       403 |        403 |         torch.distributions.wishart
import time:       991 |      18576 |       torch.distributions
import time:      1098 |       1098 |         torch.utils.data.sampler
import time:       950 |        950 |         torch.utils.data.dataset
import time:       420 |        420 |                     torch.utils.data.datapipes._hook_iterator
import time:       538 |        957 |                   torch.utils.data.datapipes._typing
import time:       209 |        209 |                     torch.utils.data.datapipes.utils
import time:      1910 |       1910 |                             _queue
import time:       972 |       2881 |                           queue
import time:       359 |        359 |                           torch.utils.data._utils.signal_handling
import time:      2057 |       5296 |                         torch.utils.data._utils.worker
import time:       279 |        279 |                         torch.utils.data._utils.pin_memory
import time:       486 |        486 |                         torch.utils.data._utils.collate
